Date,Open,High,Low,Close,Adj Close,Volume
11/23/2009,77.589996,80.980003,71.199997,73.860001,66.176559,66685
11/30/2009,74.019997,81,73.059998,79.980003,71.659912,136965
12/7/2009,79,86.800003,78.599998,84.870003,76.041199,429585
12/14/2009,84.800003,93.199997,82.809998,83.739998,75.028763,3320840
12/21/2009,83.980003,87.739998,80.550003,82.099998,73.559349,505780
12/28/2009,82.099998,82.690002,78.209999,79.25,71.005829,124200
1/4/2010,80.199997,87,78.650002,80.980003,72.555878,628935
1/11/2010,82,90,80.400002,88.889999,79.643013,2134270
1/18/2010,84.400002,91.599998,79.900002,85.349998,76.471275,146805
1/25/2010,86,86.599998,80,84.370003,75.593224,276165
2/1/2010,84.199997,92,82.800003,86.300003,77.322449,83005
2/8/2010,86,93.199997,85,90.400002,80.995926,88270
2/15/2010,93.199997,93.199997,82.209999,85.059998,76.211433,93015
2/22/2010,86.220001,90,80.029999,88.199997,79.631668,54225
3/1/2010,88.199997,92.199997,87.199997,90.419998,81.636017,47545
3/8/2010,90,90.989998,87,87.690002,79.171234,64745
3/15/2010,89.599998,89.599998,84,85.339996,77.049515,32385
3/22/2010,85.959999,89.480003,83.199997,86.410004,78.015564,21500
3/29/2010,84.220001,87.400002,84.220001,85.190002,76.914108,14220
4/5/2010,85.470001,90,85.019997,86.199997,77.825974,28795
4/12/2010,86.110001,88.379997,82,85.989998,77.636368,206970
4/19/2010,84,85.989998,82.300003,84.139999,75.966095,26500
4/26/2010,84.370003,93.389999,79.599998,85.989998,77.636368,928890
5/3/2010,85,87.599998,73.230003,86.089996,77.726646,542960
5/10/2010,89.790001,91.800003,82.300003,84.300003,76.11055,799905
5/17/2010,83.980003,85.599998,77.400002,81.330002,73.429062,71280
5/24/2010,82.010002,84,79,82.989998,74.927826,61025
5/31/2010,81.910004,85.199997,81,81.019997,73.149193,29395
6/7/2010,80.199997,83.599998,80,81.889999,73.934669,24615
6/14/2010,82,85,79.199997,81.410004,73.501305,318005
6/21/2010,82.480003,85.739998,80.669998,82.040001,74.070099,136735
6/28/2010,82.260002,84.599998,81.400002,83,74.936844,44510
7/5/2010,83,85,80,83.580002,75.460487,649885
7/12/2010,83,85.400002,83,84.410004,76.209869,34100
7/19/2010,82.440002,86.400002,82.440002,85.790001,77.455795,55555
7/26/2010,86.400002,87,83,86.300003,77.916252,565285
8/2/2010,96,96,84.040001,89.940002,81.202637,121185
8/9/2010,90.800003,91.580002,86.099998,89.239998,80.570656,50280
8/16/2010,90.309998,90.790001,87.699997,89,80.984955,44410
8/23/2010,88,90,84.529999,86.269997,78.500809,53695
8/30/2010,89.860001,96.980003,85.550003,95.32,86.735825,710725
9/6/2010,94.010002,108,94.010002,101.519997,92.377449,620380
9/13/2010,100.5,104.980003,96.400002,99.769997,90.785049,116310
9/20/2010,100,100.400002,93.800003,99.540001,90.57576,417325
9/27/2010,99.400002,107.199997,98.300003,101.519997,92.377449,181540
10/4/2010,102.400002,105,99.300003,103.330002,94.024452,395525
10/11/2010,103.330002,108,102.110001,105.459999,95.962631,257780
10/18/2010,105.300003,105.730003,100,102.739998,93.487587,197215
10/25/2010,105.480003,107,97,105.68,96.162827,356585
11/1/2010,107,120,106,118.199997,107.555313,129450
11/8/2010,119.010002,122,117.010002,120.220001,109.393394,44325
11/15/2010,120.199997,124,117,122.980003,112.658867,48895
11/22/2010,121.220001,128,120.019997,124.18,113.758156,59840
11/29/2010,123,134,123,127.370003,116.680412,50150
12/6/2010,127.690002,129,108.199997,114.989998,105.339409,211535
12/13/2010,115,117,111.610001,114.760002,105.128716,107630
12/20/2010,114,117,110.610001,116.360001,106.594444,36205
12/27/2010,116.199997,120,111,111.940002,102.545387,116950
1/3/2011,113.730003,113.730003,106.349998,110.059998,100.823174,314340
1/10/2011,112.199997,114.949997,107.099998,110.690002,101.400299,608710
1/17/2011,108.209999,115.010002,108.209999,113.559998,104.029434,81310
1/24/2011,115.790001,117,108,110.290001,101.033875,48865
1/31/2011,105.599998,117.599998,101.209999,112,102.600349,36440
2/7/2011,110.199997,114.589996,106.629997,110.800003,101.50106,414390
2/14/2011,115,115.900002,104.199997,112.589996,103.140839,28195
2/21/2011,114.900002,114.900002,107.470001,112.160004,102.746925,21845
2/28/2011,115.800003,123,110.529999,119.739998,109.690773,64660
3/7/2011,114.650002,122.989998,114.650002,118.57,108.618965,53280
3/14/2011,118.400002,123,116.43,121.400002,111.211441,18835
3/21/2011,118.400002,120.599998,116,119.959999,109.892311,2545
3/28/2011,116.860001,122,114.449997,116.07,106.328781,51420
